Course,Year,Semester,Instructor,Slot,Mode,Scheduled
BIOL 10,2023,Fall,Zairac Smith,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2023,Fall,Kenneth Wharton,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2023,Fall,Yue Luo,TBA|TBA,In Person,0
BIOL 10,2023,Fall,Andrea Gottlieb,TBA|TBA,In Person,0
BIOL 10,2023,Fall,Steven Morgan,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2023,Fall,Michele Dodge / Carlie Pietsch,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2023,Fall,Brianne Gutmann,TBA|TBA,Fully Online,0
BIOL 10,2023,Fall,K Ghadiri,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2023,Fall,Danielle Allen,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2023,Fall,Kyle Yrigoyen,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2023,Fall,Kourosh Youssefi,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2023,Fall,Jane Huynh,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2023,Fall,Vidya Rangasayee,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2023,Fall,Allison Gregory,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2023,Fall,Kala Padmanabhan,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2023,Spring,Allison Harness,TBA|TBA,Fully Online,1
BIOL 10,2023,Spring,Allison Harness,TR|01:30PM-02:45PM,In Person,1
BIOL 10,2023,Spring,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2023,Spring,Ignacio Mosqueira,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Spring,Allison Harness,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2023,Spring,Allison Harness,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Spring,Noel Smith Dasi,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2023,Spring,Yalda Edalat,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2023,Spring,Haluk Ozemek,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2023,Spring,Pouya Ostovari,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Spring,Roohi Vora,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Spring,Gregory Courand,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2023,Spring,Steven Morgan,TBA|TBA,In Person,0
BIOL 10,2023,Spring,Robert Morelos-Zaragoza,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2023,Spring,Tan Nguyen / Bhaskar Mantha,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2023,Spring,Roger Terrill,TBA|TBA,In Person,0
BIOL 10,2023,Spring,Rahul Balakrishna Balasubramaniam,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2023,Spring,Brianne Gutmann,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Fall,Allison Harness,MW|03:00PM-04:15PM,In Person,1
BIOL 10,2024,Fall,Allison Harness,TR|09:00AM-10:15AM,In Person,1
BIOL 10,2024,Fall,Inez Yuwanita,TBA|TBA,Fully Online,1
BIOL 10,2024,Fall,Allison Harness,MW|10:30AM-11:45AM,In Person,1
BIOL 10,2024,Fall,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2024,Fall,Genevieve Nguyen,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2024,Fall,Joseph Navarro,TBA|TBA,In Person,0
BIOL 10,2024,Fall,Allison Gregory,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2024,Fall,Giang Le,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2024,Fall,Christopher Dizon,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Fall,Bee Leng Lee,TBA|TBA,In Person,0
BIOL 10,2024,Fall,Zachary Coustier,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2024,Fall,Mukesh Dokala,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Fall,David Taylor,TBA|TBA,Fully Online,0
BIOL 10,2024,Fall,Chandra Prakash Saini,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2024,Fall,Bonnie Hsia,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Fall,Jillian Murphy,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2024,Fall,Ching-Seh Wu,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2024,Fall,Chelsea Criez,TR|09:00AM-10:15AM,Fully Online,0
BIOL 10,2024,Fall,Victor Maraschin,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Fall,Maryam Pirmoradi,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2024,Fall,Plamen Koev,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2024,Fall,Ramin Moazeni,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2024,Fall,Sogol Jahanbekam,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Fall,David Taylor,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Fall,Jose Ramirez,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Fall,Christopher Dizon,TBA|TBA,Fully Online,0
BIOL 10,2024,Fall,Hao Thai,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2024,Fall,Vidya Rangasayee,TBA|TBA,In Person,0
BIOL 10,2024,Fall,David Parent,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Spring,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2024,Spring,Allison Harness,TR|01:30PM-02:45PM,In Person,1
BIOL 10,2024,Spring,Allison Harness,TBA|TBA,Fully Online,1
BIOL 10,2024,Spring,Jennifer Johnston,TBA|TBA,Fully Online,1
BIOL 10,2024,Spring,Melody Esfandiari,TBA|TBA,In Person,0
BIOL 10,2024,Spring,Prayuj Pillai,TBA|TBA,Fully Online,0
BIOL 10,2024,Spring,Irina Slobodov,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Spring,Daniel Brinkman,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Spring,Ranko Heindl,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2024,Spring,Mahima Agumbe Suresh / Ishie Eswar,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Spring,Lining Wang,MW|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Spring,Amanda Smith,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2024,Spring,Olenka Hubickyj,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2024,Spring,Chandrasekar Vuppalapati,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2024,Spring,Jacob Akers,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2024,Spring,Ranko Heindl,TBA|TBA,Fully Online,0
BIOL 10,2024,Spring,Eugene Ionel,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Spring,Richard Mcnabb,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2024,Spring,Jeffrey Beckstrand,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2024,Spring,Eric Vanuska,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2024,Spring,John Leih,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2024,Spring,Rohit Sharma,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2024,Spring,Yuching Yang,TR|09:00AM-10:15AM,In Person,0
BIOL 10,2024,Spring,Venkata Satya Kanaka Madhav Gadhamsetty,MW|10:30AM-11:45AM,Fully Online,0
BIOL 10,2025,Spring,Allison Harness,TR|01:30PM-02:45PM,In Person,1
BIOL 10,2025,Spring,Allison Harness,TR|03:00PM-04:15PM,In Person,1
BIOL 10,2025,Spring,Mary Poffenroth,TBA|TBA,Fully Online,1
BIOL 10,2025,Spring,Allison Harness,TBA|TBA,Fully Online,1
BIOL 10,2025,Spring,Monique Howe,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,Genevieve Nguyen,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,Melody Esfandiari,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,Erik Johnson,TR|03:00PM-04:15PM,Fully Online,0
BIOL 10,2025,Spring,Wencen Wu / Kaikai Liu,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Ramen Bahuguna,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,Richard Low,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Saptarshi Sengupta,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,Thuy Le / Nader Mir,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Devam Sanjay Sheth,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2025,Spring,Anne Cheilek,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Nathapong Shugan,TR|01:30PM-02:45PM,Fully Online,0
BIOL 10,2025,Spring,David Taylor,MW|10:30AM-11:45AM,In Person,0
BIOL 10,2025,Spring,Andrew Bond,TR|01:30PM-02:45PM,In Person,0
BIOL 10,2025,Spring,Daniel Brinkman,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Nora Adadurova,MW|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Javier Valencia,TBA|TBA,In Person,0
BIOL 10,2025,Spring,Jahan Ghofraniha,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Kyle Yrigoyen,TR|03:00PM-04:15PM,In Person,0
BIOL 10,2025,Spring,Hao Thai,MW|03:00PM-04:15PM,In Person,0
CHEM 1,2022,Fall,Melody Esfandiari,MWF|10:30AM-11:20AM,In Person,1
CHEM 1,2022,Fall,Yujin Hur,W|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,Xiao Wang,T|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Brenda Serrano,F|09:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,David Santiago,R|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Shreeyukta Singh,R|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Shreeyukta Singh,M|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,Minh Hoang Huynh,R|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,Tommy Chang,T|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,Tommy Chang,M|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,Kala Padmanabhan,M|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,John Diniz,MWF|01:30PM-02:20PM,In Person,1
CHEM 1,2022,Fall,Kala Padmanabhan,F|11:30AM-12:20PM,In Person,1
CHEM 1,2022,Fall,John Diniz,W|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Tommy Chang,T|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Kala Padmanabhan,F|12:30PM-01:20PM,In Person,1
CHEM 1,2022,Fall,Xiao Wang,T|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,Shreeyukta Singh,F|08:30AM-09:20AM,In Person,1
CHEM 1,2022,Fall,Neomi Millan,W|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,David Santiago,T|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Resa Kelly,MWF|09:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,John Diniz,M|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Niloofar Salehi,F|07:30AM-08:20AM,In Person,1
CHEM 1,2022,Fall,Shreeyukta Singh,T|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Sonia Cuellar-Ortiz,T|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,Niloofar Salehi,T|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Roger Terrill,R|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Irina Slobodov,M|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Tommy Chang,R|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,David Santiago,R|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Yujin Hur,W|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Malik Oliver,R|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Victor Maraschin,W|02:30PM-05:15PM,In Person,1
CHEM 1,2022,Fall,Irina Slobodov,W|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Karen Singmaster / Brenda Serrano,T|07:30AM-10:20AM,In Person,1
CHEM 1,2022,Fall,Shreeyukta Singh,W|11:30AM-02:20PM,In Person,1
CHEM 1,2022,Fall,Sonia Cuellar-Ortiz,R|10:30AM-01:20PM,In Person,1
CHEM 1,2022,Fall,John Diniz,F|10:30AM-11:20AM,In Person,1
CHEM 1,2022,Fall,Tommy Chang,R|02:30PM-05:20PM,In Person,1
CHEM 1,2022,Fall,Robert Nicholson,R|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Peter Beyersdorf,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Katerina Potika,W|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Zehlia Babaci-Wilhite,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Jesse Geneson,W|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Saied Rafati,F|07:30AM-08:20AM,In Person,0
CHEM 1,2022,Fall,Bennett Haffner,M|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Navrati Saxena,R|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Faramarz Mortezaie,R|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Clarissa Smith / Jonathan Miller,T|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Jessica Williamson / Jonathan Miller,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Yulia Newton,R|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Ishie Eswar,M|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Kevin Moore,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Helen Meservey,M|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Niloofar Salehi,F|11:30AM-12:20PM,In Person,0
CHEM 1,2022,Fall,Jeffrey Wegener / Carlie Pietsch,F|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Jonas Fahrney,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Nalana La Framboise,W|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Jeffrey Beckstrand,M|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Helen Meservey,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Allison Stdennis,W|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Medha Bodas,MWF|10:30AM-11:20AM,In Person,0
CHEM 1,2022,Fall,Gina Quan,W|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Xiao Wang,F|11:30AM-12:20PM,In Person,0
CHEM 1,2022,Fall,Steven Morgan,R|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Jessica Williamson / Jonathan Miller,W|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Danny Barringer,M|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Daniel Hendel De La O,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Kong Li,W|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Sanjukta Sheth,F|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Saicharan Reddy Kadari,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Wasin So,R|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Olga Kovaleva,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Shreyas Kulkarni,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Navrati Saxena,T|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Thuy Le / Robert Morelos-Zaragoza,W|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Peter O'Sullivan,R|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Robert Morelos-Zaragoza,MWF|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Sara Cook,W|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Essam Marouf,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Brianne Gutmann,T|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Phillip Hawkins,W|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Kevin Moore,W|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Xiao Wang,F|07:30AM-08:20AM,In Person,0
CHEM 1,2022,Fall,Matthew Leigh,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Chelsea Criez,R|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Lili He,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Phillip Hawkins,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Hrishikesh Ravish,M|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Amna Yusuf,M|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Smita Duorah,W|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Matthew Leigh,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Plamen Koev,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Brianne Gutmann,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Steven Sepka,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Edgar Bering,F|10:30AM-11:20AM,In Person,0
CHEM 1,2022,Fall,Elaheh Sigari,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Pinky Mathew,W|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,David Taylor,M|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Michael Edgerton,R|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Brenda Serrano,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Alex Davis,M|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Chao-Li Tarng,MWF|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Sotoudeh Hamedi-Hagh,R|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Minh Vu,R|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Nada Attar,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Charan Bhaskar,M|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Zeel Jayeshkumar Soni,F|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Timothy Duren,MWF|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Bem Cayco,W|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Timothy Duren,F|07:30AM-08:20AM,In Person,0
CHEM 1,2022,Fall,Shawn Tran,W|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Ignacio Mosqueira,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Saptarshi Sengupta,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Giang Le,F|12:30PM-01:20PM,In Person,0
CHEM 1,2022,Fall,Gina Quan,F|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Nathapong Shugan,R|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Colton Saylor,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Robert Nicholson,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Suzy Brookshire / Jonathan Miller,M|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Robert Chun,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Thuy Le / Chang Choo,F|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Alan Meyer / Jonathan Miller,W|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Hee Park,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Mary Poffenroth,F|11:30AM-12:20PM,In Person,0
CHEM 1,2022,Fall,Qi Yang,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Vinh Nguyen,F|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Thuy Le / Chang Choo,MWF|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Sanjukta Sheth,T|02:30PM-05:20PM,In Person,0
CHEM 1,2022,Fall,Yujin Hur,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Amin Termeh Yousefi,F|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Marion Campisi,F|12:30PM-01:20PM,In Person,0
CHEM 1,2022,Fall,Allison Harness,F|10:30AM-11:20AM,In Person,0
CHEM 1,2022,Fall,Jonas Fahrney,T|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Phillip Hawkins,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Peter Beyersdorf,F|10:30AM-11:20AM,In Person,0
CHEM 1,2022,Fall,Tahir Bachar Issa,MWF|01:30PM-02:20PM,In Person,0
CHEM 1,2022,Fall,Ching-Seh Wu,M|02:30PM-05:15PM,In Person,0
CHEM 1,2022,Fall,Ryan Smith,MWF|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Andrew Bond,M|11:30AM-02:20PM,In Person,0
CHEM 1,2022,Fall,Robert Nicholson,MWF|09:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Bhaummi Patel,T|10:30AM-01:20PM,In Person,0
CHEM 1,2022,Fall,Lili He,F|12:30PM-01:20PM,In Person,0
CHEM 1,2022,Fall,Hiu Yung Wong,MWF|08:30AM-09:20AM,In Person,0
CHEM 1,2022,Fall,Thuy Le / Sotoudeh Hamedi-Hagh,M|07:30AM-10:20AM,In Person,0
CHEM 1,2022,Fall,Zenithbhai Chokshi,F|07:30AM-08:20AM,In Person,0
